task_id_list	station_id	score	willingness
T0000	C000	19.195	0.862
T0001	C000	18.157	0.694
T0002	C000	18.238	0.715
T0003	C000	9.882	0.552
T0004	C000	24.193	0.747
T0005	C000	27.644	0.882
T0006	C000	20.311	0.479
T0007	C000	18.568	0.430
T0008	C000	12.839	0.415
T0009	C000	16.811	0.821
T0010	C000	20.806	0.650
T0011	C000	17.147	0.539
T0014	C000	22.156	0.558
T0015	C000	13.781	0.435
T0016	C000	16.008	0.823
T0017	C000	27.161	0.824
T0018	C000	12.194	0.855
T0019	C000	27.607	0.599
T0020	C000	20.589	0.789
T0021	C000	9.743	0.566
T0023	C000	10.360	0.523
T0024	C000	9.198	0.799
T0025	C000	19.186	0.624
T0026	C000	22.638	0.465
T0027	C000	10.330	0.610
T0006,T0000	C000	26.633	0.837
T0025,T0018	C000	27.733	0.798
T0006,T0005	C000	30.617	0.784
T0020,T0018	C000	21.211	0.845
T0006,T0014	C000	26.265	0.748
T0010,T0026	C000	27.482	0.433
T0002,T0006	C000	36.648	0.509
T0019,T0011	C000	29.895	0.604
T0001	C001	19.491	0.833
T0002	C001	11.083	0.854
T0003	C001	12.990	0.495
T0004	C001	26.808	0.498
T0007	C001	16.429	0.452
T0008	C001	27.254	0.519
T0009	C001	13.140	0.812
T0010	C001	13.869	0.488
T0011	C001	9.376	0.514
T0012	C001	25.048	0.707
T0013	C001	26.347	0.502
T0014	C001	13.384	0.623
T0015	C001	11.525	0.584
T0016	C001	10.632	0.581
T0019	C001	21.824	0.692
T0020	C001	8.702	0.409
T0022	C001	27.255	0.411
T0023	C001	17.645	0.765
T0024	C001	27.987	0.438
T0025	C001	22.740	0.850
T0026	C001	22.074	0.797
T0011,T0002	C001	39.925	0.805
T0027,T0013	C001	48.216	0.414
T0015,T0018	C001	18.465	0.698
T0012,T0018	C001	18.398	0.433
T0002,T0020	C001	21.699	0.516
T0013,T0023	C001	28.565	0.820
T0022,T0018	C001	32.648	0.608
T0017,T0002	C001	34.598	0.632
T0000	C002	9.755	0.411
T0002	C002	23.599	0.730
T0003	C002	25.928	0.584
T0004	C002	20.235	0.659
T0005	C002	14.850	0.865
T0006	C002	12.830	0.602
T0007	C002	20.683	0.802
T0008	C002	12.006	0.507
T0009	C002	26.416	0.505
T0010	C002	15.015	0.848
T0011	C002	9.283	0.890
T0012	C002	10.257	0.636
T0014	C002	15.651	0.660
T0015	C002	22.326	0.821
T0016	C002	14.407	0.814
T0017	C002	20.151	0.739
T0018	C002	15.084	0.725
T0019	C002	20.820	0.603
T0020	C002	23.384	0.533
T0021	C002	23.937	0.892
T0022	C002	10.180	0.668
T0023	C002	15.374	0.439
T0024	C002	24.477	0.528
T0025	C002	23.101	0.667
T0026	C002	12.529	0.789
T0027	C002	26.936	0.650
T0024,T0005	C002	30.593	0.756
T0007,T0002	C002	31.135	0.802
T0012,T0004	C002	32.416	0.489
T0000,T0012	C002	35.600	0.694
T0016,T0025	C002	44.222	0.554
T0010,T0020	C002	49.435	0.445
T0027,T0026	C002	43.546	0.816
T0003,T0006	C002	25.753	0.576
T0000	C003	14.197	0.888
T0002	C003	22.365	0.408
T0003	C003	8.743	0.571
T0004	C003	13.505	0.860
T0005	C003	25.351	0.614
T0006	C003	18.662	0.743
T0008	C003	27.996	0.850
T0009	C003	21.558	0.620
T0011	C003	21.781	0.779
T0012	C003	19.175	0.816
T0013	C003	11.287	0.657
T0015	C003	21.426	0.877
T0017	C003	14.089	0.471
T0018	C003	13.459	0.649
T0019	C003	10.286	0.402
T0020	C003	18.766	0.422
T0022	C003	27.788	0.461
T0023	C003	11.335	0.865
T0024	C003	26.416	0.800
T0025	C003	12.926	0.647
T0026	C003	26.018	0.868
T0016,T0010	C003	21.476	0.589
T0000,T0008	C003	22.143	0.751
T0000,T0001	C003	24.211	0.502
T0021,T0009	C003	28.307	0.560
T0019,T0015	C003	21.356	0.729
T0003,T0027	C003	34.335	0.513
T0006,T0022	C003	34.971	0.597
T0012,T0020	C003	31.229	0.638
T0000	C004	12.085	0.716
T0001	C004	18.592	0.826
T0002	C004	25.135	0.516
T0003	C004	24.210	0.851
T0004	C004	14.300	0.861
T0005	C004	27.967	0.844
T0006	C004	12.787	0.763
T0007	C004	9.940	0.816
T0008	C004	23.799	0.463
T0009	C004	21.704	0.409
T0010	C004	21.648	0.856
T0012	C004	18.114	0.779
T0013	C004	21.714	0.495
T0014	C004	10.123	0.419
T0015	C004	18.296	0.684
T0016	C004	11.691	0.502
T0017	C004	27.806	0.863
T0018	C004	9.239	0.876
T0019	C004	23.294	0.563
T0020	C004	18.306	0.615
T0021	C004	8.265	0.751
T0022	C004	11.625	0.627
T0023	C004	16.106	0.498
T0024	C004	18.251	0.408
T0026	C004	22.093	0.830
T0027	C004	16.090	0.700
T0016,T0018	C004	49.446	0.762
T0008,T0003	C004	41.822	0.750
T0026,T0012	C004	22.263	0.548
T0017,T0022	C004	29.836	0.594
T0005,T0012	C004	24.619	0.483
T0025,T0010	C004	27.654	0.445
T0011,T0020	C004	46.887	0.422
T0008,T0021	C004	27.564	0.497
T0000	C005	11.639	0.438
T0001	C005	17.952	0.507
T0002	C005	15.907	0.687
T0003	C005	10.161	0.519
T0004	C005	18.095	0.781
T0005	C005	8.216	0.529
T0006	C005	14.817	0.670
T0007	C005	18.413	0.823
T0008	C005	16.887	0.722
T0009	C005	21.369	0.878
T0010	C005	26.772	0.593
T0013	C005	19.931	0.615
T0014	C005	13.689	0.599
T0015	C005	18.608	0.642
T0016	C005	26.590	0.732
T0017	C005	8.537	0.786
T0018	C005	20.660	0.604
T0019	C005	9.056	0.558
T0020	C005	19.635	0.762
T0021	C005	23.952	0.512
T0022	C005	13.018	0.778
