task_id_list	station_id	score	willingness
T0000	C000	19.973	0.192
T0001	C000	21.766	0.116
T0002	C000	26.424	0.165
T0003	C000	29.904	0.218
T0004	C000	18.480	0.260
T0005	C000	21.967	0.317
T0006	C000	24.308	0.268
T0007	C000	24.681	0.248
T0008	C000	8.682	0.316
T0009	C000	23.814	0.320
T0010	C000	28.264	0.199
T0011	C000	17.782	0.334
T0013	C000	10.991	0.154
T0015	C000	21.786	0.175
T0016	C000	16.489	0.188
T0017	C000	20.854	0.326
T0018	C000	28.437	0.314
T0020	C000	11.588	0.315
T0001	C001	23.704	0.153
T0002	C001	20.618	0.171
T0003	C001	26.787	0.347
T0004	C001	25.613	0.203
T0005	C001	14.466	0.292
T0007	C001	21.520	0.111
T0008	C001	15.281	0.320
T0010	C001	29.967	0.177
T0011	C001	21.195	0.108
T0012	C001	16.975	0.253
T0013	C001	8.934	0.317
T0014	C001	29.091	0.324
T0015	C001	18.129	0.230
T0016	C001	21.104	0.240
T0017	C001	28.694	0.227
T0018	C001	23.847	0.159
T0019	C001	29.512	0.230
T0020	C001	8.252	0.204
T0021	C001	8.441	0.254
T0000	C002	9.322	0.257
T0001	C002	22.944	0.188
T0002	C002	24.237	0.106
T0003	C002	22.872	0.341
T0004	C002	18.039	0.248
T0005	C002	16.007	0.178
T0006	C002	21.104	0.175
T0007	C002	24.990	0.107
T0008	C002	24.174	0.178
T0009	C002	25.684	0.160
T0010	C002	17.575	0.275
T0011	C002	15.083	0.183
T0012	C002	17.645	0.314
T0013	C002	15.408	0.263
T0015	C002	12.951	0.130
T0016	C002	12.198	0.302
T0017	C002	12.039	0.170
T0018	C002	22.123	0.302
T0019	C002	10.853	0.173
T0020	C002	13.966	0.187
T0021	C002	17.235	0.202
T0001	C003	8.103	0.336
T0004	C003	28.904	0.332
T0005	C003	24.402	0.309
T0006	C003	19.418	0.172
T0007	C003	13.004	0.117
T0008	C003	14.314	0.303
T0009	C003	27.879	0.273
T0013	C003	8.289	0.286
T0014	C003	14.598	0.266
T0015	C003	17.103	0.335
T0016	C003	15.510	0.163
T0018	C003	25.211	0.188
T0019	C003	19.762	0.304
T0020	C003	25.417	0.330
T0021	C003	26.117	0.102
T0000	C004	26.976	0.112
T0001	C004	13.909	0.232
T0002	C004	18.404	0.294
T0003	C004	9.206	0.132
T0004	C004	9.505	0.344
T0006	C004	19.047	0.179
T0007	C004	15.728	0.262
T0008	C004	15.938	0.148
T0009	C004	10.723	0.239
T0010	C004	16.365	0.120
T0011	C004	16.212	0.251
T0012	C004	16.366	0.300
T0013	C004	17.495	0.193
T0014	C004	23.463	0.205
T0015	C004	18.138	0.161
T0016	C004	23.294	0.118
T0017	C004	17.369	0.320
T0019	C004	27.753	0.298
T0020	C004	18.211	0.131
T0021	C004	22.570	0.322
T0000	C005	22.686	0.283
T0001	C005	10.269	0.247
T0002	C005	11.157	0.294
T0003	C005	10.020	0.125
T0005	C005	8.517	0.310
T0006	C005	26.567	0.268
T0007	C005	28.953	0.245
T0008	C005	8.798	0.292
T0009	C005	23.733	0.127
T0010	C005	28.560	0.115
T0011	C005	20.408	0.307
T0012	C005	11.955	0.162
T0013	C005	24.578	0.198
T0014	C005	16.726	0.188
T0015	C005	9.832	0.225
T0017	C005	24.443	0.140
T0018	C005	24.635	0.268
T0019	C005	18.642	0.261
T0021	C005	10.109	0.287
T0001	C006	17.747	0.280
T0002	C006	13.882	0.150
T0003	C006	14.927	0.158
T0004	C006	28.975	0.174
T0005	C006	17.090	0.313
T0006	C006	13.878	0.154
T0007	C006	18.549	0.196
T0008	C006	15.930	0.181
T0009	C006	11.159	0.348
T0010	C006	21.178	0.217
T0011	C006	26.076	0.239
T0012	C006	23.856	0.314
T0013	C006	24.139	0.340
T0014	C006	13.051	0.159
T0015	C006	22.858	0.340
T0017	C006	12.172	0.165
T0018	C006	23.504	0.315
T0020	C006	27.032	0.178
T0021	C006	24.037	0.121
T0000	C007	26.346	0.173
T0001	C007	20.767	0.269
T0002	C007	15.366	0.209
T0003	C007	12.622	0.246
T0005	C007	19.976	0.130
T0006	C007	22.640	0.128
T0009	C007	28.708	0.194
T0010	C007	24.661	0.174
T0011	C007	22.390	0.302
T0012	C007	24.592	0.340
T0013	C007	19.796	0.128
T0014	C007	15.747	0.280
T0015	C007	20.461	0.145
T0016	C007	21.879	0.145
T0018	C007	10.709	0.333
T0019	C007	15.294	0.280
T0020	C007	20.208	0.262
T0021	C007	14.874	0.144
T0000	C008	23.748	0.289
T0001	C008	24.272	0.190
T0002	C008	16.434	0.318
T0003	C008	19.104	0.162
T0004	C008	15.790	0.183
T0005	C008	19.913	0.293
T0006	C008	26.631	0.128
T0007	C008	10.192	0.128
T0008	C008	24.000	0.146
T0009	C008	17.166	0.286
T0010	C008	24.471	0.248
T0011	C008	16.765	0.148
T0012	C008	20.504	0.151
T0013	C008	25.197	0.108
T0014	C008	27.606	0.337
