task_id_list	station_id	score	willingness
T0000	C000	22.406	0.821
T0001	C000	16.422	0.689
T0004	C000	8.482	0.851
T0005	C000	20.959	0.501
T0006	C000	20.266	0.596
T0009	C000	8.433	0.727
T0011	C000	11.682	0.677
T0012	C000	11.769	0.684
T0013	C000	11.962	0.597
T0014	C000	15.813	0.622
T0015	C000	22.239	0.734
T0017	C000	24.873	0.861
T0018	C000	13.656	0.803
T0013,T0016	C000	39.901	0.718
T0009,T0019	C000	32.627	0.803
T0016,T0012	C000	32.670	0.464
T0000	C001	21.556	0.674
T0001	C001	17.330	0.795
T0003	C001	15.462	0.714
T0006	C001	16.325	0.512
T0007	C001	19.957	0.913
T0009	C001	10.896	0.711
T0014	C001	16.734	0.900
T0016	C001	12.578	0.730
T0018	C001	21.322	0.845
T0016,T0004	C001	30.560	0.675
T0013,T0001	C001	29.433	0.596
T0017,T0006	C001	43.230	0.615
T0001	C002	8.027	0.727
T0003	C002	18.198	0.838
T0006	C002	9.557	0.731
T0009	C002	24.041	0.530
T0011	C002	20.820	0.618
T0012	C002	21.554	0.578
T0013	C002	10.847	0.607
T0017	C002	19.945	0.709
T0018	C002	13.304	0.644
T0008,T0003	C002	22.604	0.742
T0006,T0013	C002	39.511	0.458
T0000,T0012	C002	19.394	0.738
T0000	C003	19.978	0.785
T0002	C003	24.585	0.835
T0004	C003	19.025	0.666
T0006	C003	18.726	0.525
T0007	C003	24.454	0.868
T0008	C003	22.595	0.630
T0011	C003	12.290	0.504
T0013	C003	21.930	0.904
T0015	C003	22.752	0.909
T0018	C003	13.898	0.586
T0013,T0018	C003	20.824	0.492
T0012,T0009	C003	30.123	0.457
T0019,T0012	C003	41.990	0.457
T0000	C004	13.572	0.915
T0002	C004	11.622	0.783
T0005	C004	23.001	0.789
T0006	C004	24.754	0.599
T0008	C004	10.885	0.883
T0009	C004	20.905	0.752
T0011	C004	13.785	0.622
T0016	C004	17.370	0.544
T0017	C004	9.244	0.864
T0010,T0003	C004	33.456	0.763
T0012,T0002	C004	32.123	0.539
T0002,T0008	C004	25.947	0.568
T0001	C005	23.245	0.545
T0002	C005	13.028	0.758
T0003	C005	15.030	0.847
T0005	C005	21.354	0.746
T0006	C005	15.665	0.786
T0007	C005	22.365	0.683
T0014	C005	11.529	0.633
T0015	C005	21.377	0.889
T0017	C005	14.652	0.667
T0018	C005	13.395	0.753
T0019	C005	12.251	0.830
T0017,T0015	C005	34.855	0.554
T0017,T0006	C005	24.220	0.549
T0002,T0008	C005	17.682	0.751
T0000	C006	17.764	0.642
T0001	C006	24.432	0.517
T0002	C006	21.476	0.743
T0004	C006	9.716	0.757
T0006	C006	11.743	0.839
T0007	C006	12.557	0.864
T0009	C006	8.169	0.815
T0010	C006	15.970	0.861
T0011	C006	21.222	0.638
T0014	C006	10.543	0.559
T0016	C006	20.059	0.851
T0018	C006	11.515	0.729
T0010,T0017	C006	40.222	0.748
T0006,T0005	C006	23.968	0.665
T0001,T0007	C006	22.578	0.476
T0005	C007	14.727	0.642
T0006	C007	8.415	0.772
T0007	C007	17.700	0.526
T0008	C007	10.351	0.553
T0009	C007	22.092	0.667
T0010	C007	18.412	0.598
T0011	C007	16.988	0.710
T0013	C007	19.671	0.807
T0014	C007	16.416	0.701
T0015	C007	15.008	0.735
T0018	C007	18.989	0.520
T0019	C007	16.699	0.869
T0005,T0016	C007	37.981	0.803
T0009,T0019	C007	35.777	0.790
T0011,T0005	C007	36.038	0.745
T0005	C008	12.260	0.591
T0008	C008	19.588	0.801
T0009	C008	16.756	0.569
T0011	C008	24.681	0.839
T0013	C008	23.519	0.903
T0014	C008	21.188	0.854
T0017	C008	23.713	0.908
T0018	C008	21.646	0.682
T0019	C008	13.533	0.553
T0015,T0006	C008	18.576	0.690
T0013,T0003	C008	34.815	0.561
T0012,T0017	C008	15.120	0.526
T0000	C009	8.358	0.764
T0003	C009	12.841	0.728
T0004	C009	17.958	0.605
T0010	C009	22.547	0.823
T0012	C009	12.829	0.545
T0014	C009	20.704	0.729
T0018	C009	16.506	0.740
T0019	C009	16.552	0.650
T0016,T0010	C009	15.025	0.627
T0014,T0011	C009	24.144	0.610
T0018,T0015	C009	18.393	0.817
T0000	C010	17.467	0.918
T0005	C010	23.696	0.752
T0011	C010	19.370	0.583
T0016	C010	18.568	0.909
T0019	C010	24.790	0.604
T0009,T0000	C010	27.210	0.702
T0012,T0008	C010	40.388	0.757
T0019,T0000	C010	25.484	0.556
T0003	C011	22.161	0.704
T0004	C011	8.772	0.714
T0006	C011	14.038	0.776
T0007	C011	16.622	0.897
T0009	C011	19.711	0.754
T0010	C011	11.531	0.872
T0011	C011	9.273	0.849
T0013	C011	16.696	0.809
T0014	C011	19.102	0.800
T0016	C011	18.364	0.597
T0018	C011	21.426	0.864
T0019	C011	11.779	0.905
T0007,T0000	C011	40.553	0.797
T0012,T0010	C011	42.840	0.823
T0007,T0008	C011	20.697	0.700
T0000	C012	24.542	0.686
T0004	C012	16.952	0.558
T0005	C012	20.168	0.652
T0007	C012	20.209	0.802
T0008	C012	9.809	0.667
T0009	C012	9.700	0.578
T0010	C012	18.158	0.873
T0011	C012	8.590	0.796
T0015	C012	22.244	0.550
T0017	C012	14.795	0.708
T0018	C012	10.866	0.597
T0014,T0017	C012	32.398	0.535
T0008,T0010	C012	29.890	0.494
T0006,T0002	C012	16.387	0.769
T0001	C013	14.514	0.744
T0003	C013	22.961	0.819
T0004	C013	23.533	0.506
T0005	C013	19.302	0.524
T0006	C013	10.210	0.694
T0009	C013	9.034	0.853
T0010	C013	12.651	0.549
T0011	C013	8.470	0.768
T0016	C013	18.728	0.907
T0018	C013	9.023	0.893
T0011,T0013	C013	33.161	0.674
T0016,T0001	C013	42.151	0.669
T0017,T0006	C013	36.349	0.665
T0001	C014	12.541	0.756
T0003	C014	11.019	0.541
T0004	C014	11.457	0.680
T0005	C014	18.831	0.883
T0008	C014	13.316	0.553
T0009	C014	19.292	0.876
T0012	C014	20.523	0.613
T0013	C014	13.532	0.627
T0015	C014	12.437	0.809
T0016	C014	14.463	0.549
T0018	C014	22.304	0.711
T0019	C014	23.692	0.714
T0012,T0018	C014	29.435	0.502
