task_id_list	station_id	score	willingness
T0002	C000	9.443	0.851
T0005	C000	18.301	0.755
T0007	C000	15.321	0.665
T0007,T0008	C000	23.047	0.464
T0000,T0005	C000	28.947	0.577
T0006,T0011	C000	41.754	0.660
T0001	C001	8.406	0.637
T0002	C001	16.674	0.919
T0004	C001	23.191	0.835
T0009	C001	24.677	0.904
T0010	C001	20.818	0.800
T0011	C001	17.016	0.706
T0007,T0008	C001	30.462	0.768
T0010,T0007	C001	41.991	0.634
T0009,T0008	C001	36.713	0.645
T0000	C002	13.519	0.794
T0001	C002	23.435	0.613
T0003	C002	24.275	0.797
T0008	C002	11.533	0.715
T0011	C002	21.947	0.805
T0003,T0001	C002	16.763	0.711
T0004,T0009	C002	21.798	0.800
T0001,T0008	C002	19.095	0.556
T0002	C003	23.265	0.819
T0003	C003	14.124	0.605
T0004	C003	9.959	0.528
T0005	C003	23.617	0.657
T0006	C003	23.911	0.809
T0008	C003	18.021	0.834
T0009	C003	24.504	0.502
T0011,T0001	C003	23.581	0.646
T0004,T0007	C003	31.545	0.692
T0000,T0004	C003	37.670	0.795
T0001	C004	11.834	0.778
T0002	C004	9.735	0.688
T0004	C004	17.944	0.665
T0006	C004	24.315	0.609
T0008	C004	8.307	0.734
T0009	C004	8.965	0.514
T0010	C004	9.630	0.767
T0011,T0000	C004	44.836	0.543
T0007,T0001	C004	22.523	0.686
T0009,T0011	C004	36.285	0.553
T0000	C005	16.945	0.502
T0001	C005	14.948	0.547
T0003	C005	9.696	0.576
T0004	C005	11.695	0.719
T0005	C005	13.265	0.770
T0006	C005	23.412	0.905
T0008	C005	16.696	0.744
T0009	C005	15.106	0.721
T0010	C005	9.594	0.837
T0011	C005	16.827	0.887
T0009,T0005	C005	23.687	0.843
T0005,T0004	C005	15.572	0.724
T0001,T0011	C005	24.178	0.786
T0001	C006	15.674	0.672
T0002	C006	11.540	0.747
T0003	C006	12.834	0.657
T0005	C006	20.835	0.581
T0007	C006	15.875	0.817
T0008	C006	10.069	0.551
T0009	C006	22.451	0.769
T0000,T0009	C006	34.775	0.761
T0011,T0007	C006	23.723	0.834
T0002,T0005	C006	23.068	0.661
T0000	C007	24.230	0.838
T0003	C007	11.938	0.705
T0004	C007	15.270	0.785
T0008	C007	14.053	0.919
T0009	C007	15.085	0.528
T0010	C007	23.224	0.915
T0002,T0004	C007	26.718	0.733
T0010,T0005	C007	28.165	0.660
T0001,T0002	C007	31.227	0.830
T0001	C008	16.781	0.800
T0002	C008	23.213	0.694
T0004	C008	24.917	0.829
T0006	C008	15.500	0.512
T0009	C008	16.673	0.703
T0010	C008	20.078	0.893
T0007,T0005	C008	43.859	0.582
T0011,T0010	C008	17.442	0.778
T0011,T0003	C008	30.986	0.525
T0001	C009	22.976	0.884
T0002	C009	16.901	0.881
T0003	C009	11.015	0.540
T0004	C009	11.681	0.739
T0005	C009	11.663	0.908
T0006	C009	17.481	0.837
T0007	C009	23.664	0.744
T0008	C009	18.403	0.504
T0010	C009	16.729	0.573
T0001,T0005	C009	15.091	0.644
T0010,T0011	C009	16.963	0.687
T0010,T0005	C009	28.779	0.801
T0000	C010	24.780	0.758
T0001	C010	20.914	0.894
T0003	C010	18.627	0.850
T0005	C010	16.491	0.917
T0007	C010	12.805	0.696
T0008	C010	8.578	0.857
T0010	C010	19.499	0.709
T0011	C010	19.724	0.799
T0004,T0001	C010	22.739	0.575
T0005,T0010	C010	43.452	0.575
T0010,T0006	C010	30.543	0.818
T0001	C011	18.135	0.856
T0002	C011	16.579	0.537
T0003	C011	24.143	0.736
T0005	C011	9.903	0.784
T0008	C011	14.053	0.641
T0009	C011	16.459	0.865
T0010	C011	10.276	0.802
T0003,T0004	C011	24.787	0.490
T0003,T0007	C011	20.686	0.721
T0005,T0002	C011	25.683	0.768
T0000	C012	21.745	0.766
T0001	C012	22.000	0.644
T0011,T0004	C012	30.958	0.705
T0001,T0005	C012	24.258	0.644
T0004,T0005	C012	28.222	0.485
T0001	C013	14.443	0.907
T0002	C013	10.840	0.532
T0006	C013	13.447	0.847
T0009	C013	23.312	0.651
T0010	C013	16.474	0.908
T0005,T0004	C013	19.241	0.594
T0001,T0005	C013	20.625	0.733
T0011,T0009	C013	16.406	0.826
T0003	C014	9.072	0.686
T0004	C014	13.457	0.742
T0005	C014	19.019	0.798
T0007	C014	8.920	0.822
T0008	C014	22.813	0.729
T0010	C014	16.677	0.779
T0011	C014	14.822	0.790
T0002,T0006	C014	26.580	0.631
T0001,T0007	C014	44.858	0.501
T0010,T0008	C014	42.453	0.481
T0000	C015	21.565	0.504
T0001	C015	13.961	0.573
T0002	C015	19.386	0.539
T0005	C015	23.278	0.601
T0006	C015	17.499	0.558
T0008	C015	11.393	0.886
T0003,T0002	C015	26.146	0.451
