task_id_list	station_id	score	willingness
T0000,T0003	C000	38.279	0.550
T0000,T0001	C000	18.396	0.638
T0000	C001	17.244	0.741
T0001	C001	11.684	0.617
T0004	C001	21.551	0.558
T0001,T0005	C001	15.053	0.799
T0001,T0005	C001	43.804	0.516
T0000	C002	13.332	0.584
T0003	C002	24.465	0.583
T0005	C002	8.367	0.674
T0001,T0002	C002	16.954	0.571
T0004,T0005	C002	15.101	0.721
T0000	C003	13.269	0.844
T0001	C003	13.368	0.702
T0003	C003	24.577	0.510
T0000,T0004	C003	38.632	0.596
T0004,T0000	C003	28.585	0.733
T0002	C004	12.183	0.844
T0003	C004	16.712	0.875
T0004	C004	15.868	0.748
T0002,T0005	C004	16.099	0.828
T0000,T0001	C004	25.222	0.694
T0001	C005	23.711	0.729
T0002	C005	13.386	0.575
T0003	C005	10.531	0.789
T0005	C005	8.825	0.914
T0004,T0003	C005	15.955	0.746
T0002,T0005	C005	28.670	0.619
T0000	C006	23.573	0.514
T0001	C006	22.253	0.555
T0000,T0001	C006	28.037	0.510
T0003,T0002	C006	19.236	0.819
T0001	C007	16.877	0.903
T0003	C007	12.659	0.697
T0005	C007	21.975	0.723
T0001,T0003	C007	41.034	0.522
T0003,T0002	C007	30.455	0.669
T0001	C008	21.518	0.649
T0003	C008	13.197	0.735
T0002,T0005	C008	43.707	0.586
T0001,T0004	C008	40.555	0.640
T0001	C009	12.653	0.621
T0004	C009	12.656	0.645
T0003,T0002	C009	42.670	0.519
T0005,T0003	C009	44.284	0.833
T0002	C010	22.223	0.894
T0003	C010	19.754	0.802
T0005	C010	21.266	0.744
T0005,T0003	C010	24.080	0.671
T0005,T0002	C010	36.612	0.461
T0000	C011	15.498	0.773
T0001	C011	19.661	0.765
T0002	C011	16.017	0.595
T0003	C011	10.270	0.633
T0004	C011	11.287	0.515
T0005	C011	14.465	0.757
T0004,T0001	C011	22.135	0.811
T0000,T0002	C011	27.161	0.561
