task_id_list	station_id	score	willingness
T0000	C000	11.017	0.675
T0001	C000	18.718	0.533
T0002	C000	18.149	0.369
T0003	C000	9.397	0.395
T0004	C000	24.537	0.412
T0005	C000	20.549	0.824
T0006	C000	15.934	0.838
T0007	C000	25.169	0.495
T0008	C000	10.356	0.504
T0009	C000	11.615	0.641
T0010	C000	15.448	0.624
T0011	C000	9.192	0.453
T0012	C000	16.552	0.507
T0013	C000	17.064	0.500
T0014	C000	21.980	0.472
T0015	C000	18.504	0.788
T0016	C000	13.759	0.840
T0017	C000	16.362	0.729
T0018	C000	17.779	0.370
T0019	C000	23.291	0.637
T0020	C000	14.275	0.698
T0021	C000	19.598	0.578
T0022	C000	26.894	0.587
T0023	C000	9.213	0.701
T0024	C000	27.862	0.761
T0025	C000	15.716	0.684
T0026	C000	17.234	0.434
T0027	C000	9.179	0.734
T0028	C000	12.952	0.545
T0029	C000	9.612	0.575
T0030	C000	25.668	0.760
T0031	C000	13.568	0.558
T0032	C000	25.684	0.829
T0033	C000	11.524	0.466
T0034	C000	17.699	0.645
T0016,T0018	C000	18.139	0.539
T0023,T0020	C000	50.405	0.661
T0032,T0003	C000	33.526	0.742
T0025,T0006	C000	34.372	0.530
T0012,T0004	C000	51.479	0.548
T0007,T0021	C000	38.425	0.396
T0009,T0034	C000	21.450	0.514
T0001,T0004	C000	47.727	0.626
T0009,T0016	C000	50.486	0.621
T0030,T0007	C000	21.922	0.570
T0029,T0030	C000	34.450	0.389
T0006,T0021	C000	43.172	0.565
T0010,T0033	C000	18.785	0.778
T0033,T0023	C000	22.984	0.594
T0001,T0033	C000	28.135	0.639
T0005,T0016	C000	35.625	0.759
T0022,T0014	C000	36.108	0.701
T0021,T0014	C000	38.850	0.705
T0012,T0015	C000	45.823	0.683
T0014,T0012	C000	35.600	0.510
T0001,T0017	C000	34.056	0.437
T0022,T0028	C000	45.491	0.675
T0022,T0023	C000	20.738	0.396
T0030,T0012	C000	29.483	0.567
T0000,T0030	C000	48.913	0.505
T0005,T0007	C000	48.932	0.702
T0012,T0030	C000	48.226	0.545
T0021,T0005	C000	45.228	0.787
