task_id_list	courier_id	total_score	willingness
T0005,T0015	C059	17.5509	0.4978
T0014,T0028	C010	38.9532	0.3200
T0000	C075	31.2776	0.3260
T0022,T0037	C020	27.0788	0.0707
T0029,T0034	C026	47.8388	0.1762
T0001,T0026	C006	33.7073	0.3669
T0003,T0031	C007	12.6732	0.2470
T0016,T0020	C032	47.5115	0.3731
T0037,T0038	C065	16.7481	0.4493
T0026	C077	20.5413	0.2827
T0017,T0023	C046	39.7969	0.4989
T0010,T0017	C004	20.4393	0.2640
T0018,T0039	C073	19.0474	0.3184
T0018,T0031	C075	21.6505	0.2515
T0011,T0035	C069	12.0693	0.1445
T0027,T0034	C016	37.3398	0.6467
T0037,T0038	C075	37.4123	0.0100
T0001,T0020	C014	50.4786	0.2263
T0009,T0031	C050	21.9388	0.5040
T0027,T0032	C028	44.0982	0.6442
T0002,T0004	C070	27.4380	0.3680
T0010,T0019	C049	30.2156	0.4872
T0011,T0029	C004	32.3024	0.3885
T0014,T0025	C078	25.8786	0.0398
T0029,T0034	C033	19.2613	0.7582
T0009	C013	36.4599	0.7172
T0003,T0028	C079	39.6902	0.6256
T0017,T0032	C054	39.2655	0.0987
T0013	C031	14.6672	0.2024
T0031,T0036	C033	30.5789	0.1308
T0024	C037	22.6528	0.3884
T0017,T0021	C007	39.4311	0.6351
T0007,T0032	C018	36.4208	0.4364
T0016	C066	15.2136	0.3327
T0028,T0031	C030	45.3150	0.8027
T0017,T0026	C065	47.1367	0.5726
T0027,T0037	C020	37.0818	0.2298
T0011,T0020	C002	12.5290	0.3006
T0007,T0014	C066	16.2520	0.5184
T0007,T0008	C013	49.8331	0.1682
T0017,T0018	C055	32.3800	0.5453
T0032	C069	31.7455	0.3710
T0014,T0028	C061	34.0508	0.7506
T0034	C049	45.6942	0.5534
T0010,T0034	C003	35.8171	0.2858
T0008,T0030	C003	16.8025	0.4943
T0003,T0006	C070	22.3590	0.4053
T0000,T0003	C062	52.1853	0.4865
T0026,T0029	C066	31.0840	0.0100
T0004,T0033	C034	17.5523	0.1113
T0008,T0020	C036	23.7049	0.2146
T0017,T0026	C026	20.4231	0.2680
T0004,T0012	C034	36.4363	0.6574
T0005	C025	26.3916	0.3911
T0006,T0023	C022	23.0368	0.7674
T0011,T0012	C072	43.6870	0.4301
T0026,T0039	C025	34.6680	0.1238
T0015,T0016	C079	22.8862	0.1759
T0014,T0039	C032	26.4899	0.2065
T0012,T0039	C044	20.9643	0.0100
T0003,T0035	C011	38.9647	0.2482
T0029	C053	26.4427	0.4037
T0002,T0012	C078	32.6769	0.0864
T0009,T0019	C042	21.7987	0.0240
T0012,T0020	C033	60.1648	0.2753
T0011,T0012	C000	57.8250	0.4829
T0014,T0025	C073	36.2719	0.3938
T0009,T0031	C053	37.3782	0.1951
T0014,T0037	C015	27.8087	0.3260
T0004	C066	17.3723	0.3822
T0010,T0019	C035	21.2222	0.4284
T0021	C060	8.0765	0.2471
T0003,T0029	C018	10.0000	0.0100
T0026	C029	22.5701	0.6537
T0006,T0034	C068	26.0063	0.3051
T0008,T0009	C063	27.8122	0.4256
T0026,T0029	C062	40.5370	0.0919
T0018	C072	8.0000	0.1290
T0010,T0019	C053	44.5971	0.4603
T0008,T0039	C022	10.0000	0.2108
T0005	C031	22.1576	0.4941
T0026,T0039	C048	36.7163	0.6544
T0001,T0035	C022	14.2743	0.3494
T0003,T0029	C040	39.7157	0.1241
T0034	C022	14.7015	0.6234
T0004,T0023	C037	22.8794	0.4901
T0035	C053	37.6166	0.3774
T0016,T0022	C061	40.9767	0.4666
T0007,T0025	C075	46.2808	0.3615
T0008,T0019	C069	37.0891	0.1210
T0037,T0038	C050	41.1179	0.6034
T0003,T0035	C038	26.4210	0.5335
T0018,T0022	C014	41.4636	0.4817
T0039	C054	20.8916	0.5060
T0027,T0037	C065	32.2621	0.2571
T0027	C000	27.1293	0.2712
T0007,T0019	C019	29.9159	0.1305
T0003,T0034	C064	22.0179	0.2787
T0009,T0038	C020	18.6455	0.4935
T0014,T0039	C007	22.2211	0.6103
T0002,T0035	C013	30.6568	0.3987
T0004,T0016	C071	52.1143	0.1289
T0006,T0035	C016	32.5543	0.2084
T0034	C033	15.5239	0.4238
T0032,T0039	C064	36.7602	0.5333
T0001	C042	16.3342	0.2838
T0000,T0003	C043	41.8783	0.2968
T0026,T0039	C013	15.1292	0.1974
T0032,T0037	C027	11.4037	0.0524
T0016	C072	8.0000	0.1816
T0018,T0020	C071	35.8365	0.4426
T0014	C042	22.0928	0.2683
T0003,T0035	C033	31.9929	0.2855
T0020	C063	22.5522	0.6265
T0001	C035	32.1699	0.2123
T0033,T0036	C017	31.4675	0.0271
T0026	C062	34.2451	0.5259
T0012,T0021	C003	33.4801	0.3822
T0025,T0026	C018	42.7785	0.2795
T0022	C027	24.8445	0.4300
T0015	C018	19.8292	0.6063
T0019	C052	46.9031	0.5167
T0032,T0039	C034	29.8287	0.4727
T0015	C048	10.0171	0.4146
T0008,T0010	C029	50.1734	0.0529
T0017,T0026	C035	21.3264	0.6129
T0002,T0031	C055	29.3983	0.2895
T0001,T0021	C051	38.9669	0.1837
T0033,T0037	C068	35.8266	0.3891
T0003,T0026	C039	23.1171	0.4027
T0039	C042	8.0000	0.0100
T0014,T0037	C003	23.0124	0.1752
T0006,T0015	C054	45.7559	0.4703
T0002,T0018	C013	25.6181	0.5336
T0004,T0016	C003	24.1100	0.4153
T0000,T0022	C067	56.8347	0.2952
T0012,T0021	C024	22.9285	0.1111
T0007,T0035	C000	27.0271	0.0478
T0008	C027	9.0141	0.7052
T0013,T0015	C019	52.6561	0.2693
T0001,T0020	C066	13.3472	0.5440
T0007,T0026	C063	14.5110	0.2383
T0033,T0036	C070	43.8157	0.2460
T0034	C073	18.9269	0.4167
T0037,T0038	C030	19.1333	0.4099
T0013,T0015	C068	13.0226	0.5496
T0008	C003	21.4265	0.3322
T0025,T0029	C046	27.6085	0.6032
T0009,T0033	C053	41.4369	0.2761
T0003,T0007	C016	34.0969	0.1836
T0003,T0012	C067	34.9629	0.5778
T0016,T0022	C068	18.6816	0.0817
T0003,T0023	C055	33.7660	0.0757
T0003,T0017	C006	27.7956	0.4552
T0035	C012	58.8172	0.1684
T0014	C026	49.0156	0.4126
T0011,T0024	C063	27.3629	0.3543
T0003,T0015	C078	15.2487	0.7017
T0014,T0016	C072	18.6658	0.2443
T0020,T0027	C034	10.0000	0.3936
T0029,T0036	C050	32.0740	0.1098
T0003,T0014	C037	63.9671	0.2984
